Date,Tweet,User,Keyword
09/24/2021,MentalHealthMatters MentalHealthAwareness Gr8 victory for Mentalhealth Sector of IndiaBased on d directions of supremecourtofindia in my case MSJEGOI has directed all d STATES immediately 2 ensure Covid19 vaccination 2 person wid mentalillness in Mental Hospitals,AdvGauravKumar,COVID
09/24/2021,Completed the COVID19 Vaccination CovishieldVaccine largestVaccinationdrive India COVID19 vaccinated,mr_sn_gt_,COVID
09/23/2021,Got a call from a personTask was Collect his Reports from labs and need to deliver at GajuwakaDelivered On timeLokalwala Hyperlocal Vizag Startups COVID19 Delivery AndhraPradesh YourStoryCo,Lokalwala3,COVID
09/23/2021,As a 1st Generation lawyer who comes from a village of UP amp who is learning amp working on Mentalhealth POLICY succesfully fighting 4 inclusion of SUICIDE DEATHS as COVID19 DEATHS amp that too in TOP COURT of our country is like a dream come true 4 me,AdvGauravKumar,COVID
09/23/2021,I Got Fully Vaccinated Today COVID19,RjAnuragTiwari,COVID
09/23/2021,Check Out the Big Loan Advisory by Loanmaart Need Personal LoanVisit loanmaart loanmaart Help Survivor41 Inthesoop2 personalloan homeloans Trending thursdayvibes loans COVID19 StaySafe SaudiArabia loanmaart NEWSUPDATE like,loanmaart,COVID
09/23/2021,Will you HopeWithUs for India by GIVING to the COVID Food Relief Your donation gives HOPEVisit to watch our second HopeWithUs video amp stay tuned for more,PioneersCanada,COVID
09/22/2021,Covid Vaccine India gives 20 million jabs to mark PM Modis birthdayResult UK casts doubt on Indias vaccine certificateModi Modi Modi Modi,Manav_SS_Gupta,COVID
09/22/2021,Breaking News SRH bowler natarajan has tested positive for Covid 19 ahead of todays match DCvsSRH Wish him speedy recovery But match will be played today as scheduled COVID19 IPL2021,yadavkaran_7,COVID
09/22/2021,He is right as far as the yardstick is concerned And ofcourse it wont be cancelledBy the way 8 DC players were part of the Indian squad that refused to play that test match because of covid concern,StarkAditya_,COVID
09/22/2021,After a fourmonthlong pause due to the COVID19 pandemic Air Canada has resumed its operations to Delhi again travel traveljournal travelupdate,TheAsianext,COVID
09/22/2021,BruhsJacob SueIeraci Covid19Critical The guy did not sue and ivermectin usage for COVID was stopped in q1 aas it was ineffective,R53316842,COVID
09/22/2021,SI Vittal Reddy and ASI Ramesh along with kala brundham in Antharam village Under the auspices of the fair team an awareness seminar was organized on child labor system child marriages superstitions corona helmet road accidents online scams spvikarabad TelanganaCOPs,SHO_KCL_VKB,corona
09/21/2021,Thanq modi ji my gp completed covid vaccine 100,JRamarao19,COVID
09/21/2021,Biscuits and chocolates manufacturers have subtly reduced their size physical size of their products since the onset of C19 Pandemic and that includes BrittaniaFoods amp Horlicksindia,Idealogue45,COVID
09/21/2021,Successfully completed My Dad 2nd Dose of COVID19 Vaccination COVISHIELD,SathishKinnera,COVID
09/21/2021,As we heal from the COVID19 pandemic we are inspired to think creatively and collectively for a way to help everyone recover better healthier and to build peace in a way that builds resilience as a communityworldpeaceday WorldPeace PeaceDay Cambridge PEACEDAY2021,ICanSchoolMys,COVID
09/21/2021,WasimJaffer14 TheRealPCB Pandemic Is A Disease and Somehow It Has A CURE Terrorism Is Religion And It Has Definite Agenda and Commitment justsaying,LuckyBoffin,COVID
09/20/2021,Ankal Thats because they are working from home due to covid restrictions in Afghanistan Only women koz they are important and priceless Liberal logic this,MadelkarVijay,COVID
09/19/2021,Pandemic may not continue to be a public health emergency Covid19 SundayMorning,doctor4india,COVID
09/18/2021,BobHortone SeaTurt1e JanK3875 mommysnewsskirt DrEricDing There is a difference between wild polio and polio from vaccineSmall pox has been eliminated thnx to the jab7k number is not the number of people killed by the COVID vaccine it is the number of people who died after getting the vaccine from any reason big difference,R53316842,COVID
09/18/2021,Chinese real estate giant Evergrande is staring at bankruptcy with more than USD 300 billion of debt amp more than 800 stalled projects Is this a LehmanBrothers moment for China After Covid China May Soon Export a Financial Recession,prafullaketkar,COVID
09/18/2021,LIVE PM narendramodis interaction with HCWs and beneficiaries of Covid vaccination programme in Goa,Rahul_SharmaBJP,COVID
09/17/2021,Look at the Milestone What we achieve in one day Congratulationsindia COVID19 COVID19Vaccination CoWIN IndiaFightsCorona India,imHarinarayan1,corona
09/17/2021,225 crore Covid19 vaccine doses and counting,Stuti8220,COVID
09/17/2021,iramizraja not only a cricketer in your country but no guest wants to live in security people can live with Corona but not in your country even before a Cricket team was attacked yetPAKvNZ NZvsPAK PakistanIsSafeForCricket EngvsInd AUSvsIND Ashes,SaurabhOffici19,corona
09/17/2021,Todays Covid19 vaccination crossed 2 crores Kudos India for creating a world record Covid19 vaccine LargestVaccinationDrive,mr_sn_gt_,COVID
09/17/2021,Congratulations INDIAToday 2 crore covid shots Beautiful birthday PMOIndia narendramodi Solutes DOCTOR,amarchandrasroj,COVID
09/17/2021,INDIA COVID VaccinationDrive20 million doses in a single day And countingThis is how its done What are you waiting for Get your vaccine now,HaryaxPathak,COVID
09/17/2021,Todays Covid19 vaccination crossed 1 crores Kudos India IndiaFightsCorona CoWIN Covid19 Corona vaccine,mr_sn_gt_,corona
09/17/2021,Todays Covid19 vaccination crossed 71 lakh at 100 pm Kudos to Government of India and respective State Governments IndiaFightsCorona COVID19 India LargestVaccinationDrive PMOIndia,mr_sn_gt_,corona
09/17/2021,SoodFoundation Good morning sir as I have been lost job in COVID19 due to positive and recoverd and find a small job of salary if you can help me with 20000 rupees through Google pay or Phonepe on 9494679448 I will return back to my friends helped me,raghuannam,COVID
09/16/2021,India is leading the global COVID19 vaccinations with the worlds LargestVaccineDrive IndiaFightsCorona India,amitdhakar445,corona
09/15/2021,Kangana got Y security by spreading hatred and propagandaIn New India income Tax raids on Sonu Soods house who helped many people during pandemicSonuSood SonuSoodRealHero StandWithSonuSood IncomeTaxRaid AamAadmiParty ModiHaiTohMumkinHai,Rajeshkm_RJS,corona
09/15/2021,September 15th No third wave Hope the monster keeps sleeping COVID19 coronavirus,surajjaiswal___,corona
09/14/2021,jotted down a few thoughts about how I feel about my youth in the times of this pandemic btsbighit BTStwt YouthToday YourStories,NishArmy,corona
09/14/2021,WHO congratulates India for administering 750 Million Covid19 vaccinesIndia reached 750 Million doses from 650 Million in just 13 daysCongratulations to Government of India and respective State Governments for making this possible Jai HindIndiaIndiaFightsCorona,mr_sn_gt_,corona
09/13/2021,What do you prefer onlinelearning COVID mondaythoughts,AdDarainedu,COVID
09/13/2021,Congratulations India for achieving administration of more than 750000000 75 crore COVID19 vaccines Congratulations to the Government of India and respective State Governments for making this possible Jai Hind India LargestVaccinationDrive CovidVaccines,mr_sn_gt_,COVID
09/13/2021,Nothing can stop our Mumbai Police not even this deadly virus O2cure AirconZeco amp rgfenvgroup with SunielVShetty have taken an initiative to ProtectTheProtectors from Coronavirus by installing 800 O2Cure Corona Killers at their stations amp cars,cure_o2,corona
09/12/2021,Despite the unprecedented times of the COVID19 pandemic India has emerged as a global manufacturing hub and effectively surpassed the United States to become the worlds second most desired manufacturing destinationJai Hind India,mr_sn_gt_,COVID
09/12/2021,Even as Covid hit most companies revenues highpurpose companies were less severely affected according to Journal Applied Corporate FinanceWhy do lowpurpose entities exist at allFT,vjhyd4,COVID
09/11/2021,SolutionToSuicideOnly Satbhakti of Supreme God Kabir Saheb is helpful in getting out of mental stress in corona pandemic According to this scripture told by Sant Rampal Ji Maharaj Ji there are physical mental and spiritual benefits from the devotion of Satbhakti,Bhupi67209725,corona
09/11/2021,Ishq Out of budget is available on amazonIN BooksWorthReading bookstagram bookstagrammer bookslover ishqoutofbudget COVID19 India Friends FridayFeeling LoveStory,speakupwitpriya,COVID
09/10/2021,Covid19 Be safe Wear Mask coronavirus coronavirusindia lockdown anmolpradeepgoyal,AnmolPGoyal,corona
09/10/2021,I want a suggestionShould I buy YESBANK shares Say honestly Will it ever rise Matrix Messi Bitcoin COVID19 LALISA LuciferNetflix Kaalachakra HANBIN ganpati fridaymorning Seetimaar onepiece1025 ENGvNZ QueenMariaChike RBI RBIsays BSEIndia pk63 pnbindia,sushant___raj,COVID
09/10/2021,Breaking News 5th test match between INDvsENG Abandoned due to rising of COVID19 Cases in Team Indias Camp ENGvIND,yadavkaran_7,COVID
09/10/2021,My father Kasarla Narsaiah need your support to fight covid ktr KTRoffce please save sir my friend father sir,UdayKum22649092,COVID
09/09/2021,sg4devpt The way many people especially children got to move into working leaving their studiesHuge gap that is being seen in Child Education due to emerging Digitalised Learning waysImpact of COVID on careers of budding youthDecreased focus on Challenges of Climate Change,Kri_Te_Acharya,COVID
09/09/2021,Closure of GM and now Ford is no surprise to those in the know about Indian Auto Industry MarutiCorp leads by far even though they are getting slack in recent Covid19 times followed at a distance by HyundaiIndia with the latters component failure higher than Maruti,GTVerghese,COVID
09/08/2021,Its fellow student from theem college of engineering boiser district palghar Currently studying in last year mechanical engineeringour college increases the fees in these pandemiceven not getting the scholarship amount of second year too have can we pay the fees 68k fees,shrilesh_m,COVID
09/08/2021,I believe The people who left me alone were never minesadintrovertguy positive quotes BiggBossOTT COVID19 DeVir KiaraAdvani LuciferNetflix IndianCricketTeam quote quoteoftheday QNT,sadintrovertguy,COVID
09/06/2021,PVRCinemas Going to MoviesPVR could be risky in these COVID times Dont you think so,VasiChennai,COVID
09/06/2021,what is this hell for inter 2nd year promoted students How the parents should pay 50k to 60k fees for just a month in this pandemic days what actions taken by government to control fees in corporate collegesKTRTRS resign SabithaindraTRS education minister we want justice,VenuThomas2,COVID
09/06/2021,There were all kinds of difficulties in Himachal which proved to be a hindrance in vaccination Being a hilly state there is a problem of logistics there is also a problem of storage of corona vaccinePM Shri narendramodi ji,Kasimbjp,corona
09/06/2021,Himachal Pradesh has emerged as a champion in the fight against the biggest epidemic of 100 years Himachal has become the first state in India to have administered at least one dose of corona vaccine to its entire eligible population PM narendramodi ji,Kasimbjp,corona
09/05/2021,Felicitated our teachers on occasion of Teachers Day and for their sacrifices and services during the Covid 19 Lock Down Team MISSION NEEDY SathupallySahalMohammad1 ammubhavan MdNihash NavyanthDhfm hafeezprince369 NooruddinSonu,MissionNeedy,COVID
09/05/2021,Head Coach Ravi Shastri has been tested for COVID19 and has been isolated ENGvIND INDvENG TeamIndia,getcricketinfo,COVID
09/05/2021,Covid 19 Precautions,inschoolactivi1,COVID
09/05/2021,Blood donation certificates are issued as well for the ones who donate blood for the cause For that mattereven the ashram is being offered to be converted into Covid centres3 Days to go for Avataran DiwasVisit Saint Rampal ji maharaj YouTube channel,Rahul54127112,COVID
09/05/2021,Blood donation certificates are issued as well for the ones who donate blood for the cause For that matter even the ashram is being offered to be converted into Covid centres3 Days to go for Avataran Diwas,realrajuPrasad1,COVID
09/04/2021,Lets all get vaxxed and halt the third wave MoneyHeist Covid19 KhaasReTV Mumbai tokyo,angeltweets7,COVID
09/04/2021,As threat of ThirdWave ThirdWaveOfCorona ThirdwavecommingsoonIs over in Kanpur UttarPradesh India its doctors are conducting physicalMeetingAs thats a fitting tribute to their colleagues martyred in secondWave COVID19 COVID COVIDIOTS covidleak coronavirus,llrhknp,corona
09/03/2021,What we do is skilled artwork but the income we earn is meagre There has been a gradual improvement over the years in our livelihood after 2014 however the ongoing Covid pandemic has sabotaged our livelihoods completelyFull Story gtgt handloomweavers,HumansofHyd,COVID
09/03/2021,Honorable Supreme Court put an interim stay on the Kerala governments decision to hold offline exams for Class11 from September 6Kerala has continued to account for more than 70 of daily new Covid19 cases in India according to health ministry,mr_sn_gt_,COVID
09/03/2021,urstrulyMahesh sir my father died with covid we have a huge debts my monthly income Less than intrest we wont have any expect lenders are killing with their words Please do any help if you possibleBig fan for loyality and humanity9515095688,Vineeth09333664,COVID
09/03/2021,Obligatory double vaccinated post Vaccinated letsgetvacccinated igotmyshot Vaccine CoviShield VaccineDrive PMCFightsCorona PuneFightsCorona youngWarrior Covid19Warrior IndiaFightsCorona coronavirus Corona2ndWave COVID19 WHO Unicef UNICEFSouthAsia,AmeySharma,corona
09/03/2021,I am covid worries,NikhilG45443292,COVID
09/01/2021,Indias economy was at the low level due to the largest lockdown in the world in relation to covid pandemic Now India showing signs of robust economic recovery GDP grows by 201 in Q1 Jai Hind IndianEconomyRebounds GdpGrowth IndiaBouncesBack India,mr_sn_gt_,COVID
09/01/2021,State guidelines for Covid19Kerala A night curfew is in place from 10 pm to 6 am,go4cabsindia,COVID
09/01/2021,Indian Capital guideline for Covid19DelhiSchools will reopen in a phased manner in September with 50 capacity in classroomsRestaurants and bars can operate at 50 capacity and along with malls and markets can remain open beyond 8 pm,go4cabsindia,COVID
09/01/2021,State guidelines for Covid19GoaBars and restaurants have been allowed to remain open at 50 capacity from 7 am to 11 pmFully vaccinated travelers do not need to present a negative RTPCR test certificate,go4cabsindia,COVID
09/01/2021,State guidelines for Covid19Maharashtra All international travelers arriving at Maharashtra airports will have to produce a negative RTPCR test result irrespective of their vaccination status,go4cabsindia,COVID
09/01/2021,State guidelines regarding covid19KarnatakaCurrent restrictions will continue for two more weeksHowever passengers entering the State from Kerala now have to undergo a weeklong institutional quarantine on arrival and take an RTPCR test at the end of the quarantine period,go4cabsindia,COVID
09/01/2021,narendramodi iskcon Death axigreshen scem covid 19 Family s ki kab detha,JakkamSathish,COVID
09/01/2021,Cardiology department of kgmu Lucknow UttarPradesh will provide nurse ward boy amp sweeper to run ICU B currently operational COVID19 Covid19 corona ICU at RALC Is it so because Cardiology faculty is unable to handle such critical patients or are considered to be so,llrhknp,corona
09/01/2021,CollectorBDD Good Morning Sir Welcomed Students to School with Flowers in Festive Mood with all Preparedness of Covid instructions in Challasamudram GP Yellandu Mandal Participated By MEO garu Sarpanch Panchayath Secretary Teaching and GP Staff,vamsi_evk,COVID
08/31/2021,Ignore me once Ill ignore you for lifetime Janmashtami JungkookBirthday JUNGKOOK Crypto nftart COVID19 TokyoParalympics Vigil JungkookDay sadintrovertguy,sadintrovertguy,COVID
08/31/2021,You always made me feel alone when you were with mesadintrovertguy sadquotes vibes thoughts alone MondayMotivation Crypto COVID19 Janmashtami HappyJanmashtami Ligue1 ButterClipe 2M,sadintrovertguy,COVID
08/30/2021,Portable Oxygen cans are the new musthave products in every home medical kitCovid,Stuti8220,COVID
08/29/2021,I fully support this trend And you sundayvibes trading EMPOWERRR TurkeyDroneSale TheEmpire Tokyo2020 COVID19 Vishal31,N_jpshukla_345,COVID
08/29/2021,Indeed it is The COVID pandemic has taken a drastic toll on our mental healths Visit and avail your FREE Covid Relief session therapy Mentalhealth MentalHealthMatters anxiety pandemic,GoodLives4,COVID
08/29/2021,PMJanDhan In just 7 years PMJDY has transformed the financial inclusion programme of the government delivering financial services in terms of bank accounts insurance pension and aid during the pandemic to the poorest of the poor PMJanDhan,Deepakc87709977,COVID
08/28/2021,If Indians are in trouble anywhere in the world then India stands up to help them Be it the Corona period or the crisis of Afghanistan the world has experienced it continuously Hundreds of friends from Afghanistan are being brought to India PM ModiThis is my India,mr_sn_gt_,corona
08/28/2021,Today anywhere in the world if any Indian is in trouble then India stands up to help him with all his might Be it the Corona period or the crisis of Afghanistan Hundreds of comrades from Afghanistan are being brought to India under Operation Devi Shakti PM Shri,Kasimbjp,corona
08/28/2021,Got Coronas first dose,pkmali9680,corona
08/28/2021,by our team vaccination COVID19 GetVaccinated Unite2FightCorona,UnisedIndia,corona
08/28/2021,Total covid positive cases in the country in last 24 hours is 46759 amp 509 fatalities Out of this total 32801 positive cases and 179 fatalities are from Kerala State Kerala KeralaModelfailed India,mr_sn_gt_,COVID
08/28/2021,samantuday sir on behalf of all the students of our country to conduct the MBACET as soon as possible the session had been already delayed due to the pandemicStudents dte Maharashtra aicte UddhavThackeray Delhi,ShrutikaKagde7,COVID
08/28/2021,Indeed Rising covid cases in India are worrying and when 70 of cases are from Kerala where you are democratically elected then its depressing as wellWhile centre is making record vaccinations Kerala model is achieving great heights in mismanagement of Covid KeralaModel,t_chandravanshi,COVID
08/27/2021,Indias Covid Vaccination coverage crosses 62 Crores Congratulations India India LargestVaccinationDrive vaccination,mr_sn_gt_,COVID
08/27/2021,Covid19 vaccination was launched at all health institutions across the Bidar District on August 27 for the districts development initiatives coronavirus covid karnataka bidardistrict bidardc bidarpolitics govtofkarnataka karnatakahealthdept,Mdirfanbidar123,corona
08/27/2021,Amma oldage home in warangal area was flooded due to rains in the city During this time of great uncertainty to comfort them we delivered groceries as support from Sivanandaguru Cultural Trust Warangal They are also facing great trouble with COVID19 crisis SudhaRaniGundu,gattu_ranjith,COVID
08/26/2021,JDMorgan ChancejTerry Moondropz silverblu SuperWiki kswinhart JensenAckles jarpad mishacollins FangasmSPN cwspn Jeff we adore you a lot please do visit India once this pandemic is over You would Love Goa Darjeeling and Kashmir and many more places your Indian Fans love you,Tinaofficial24,COVID
08/26/2021,Now you can follow simple steps to book your slot for COVID vaccination through MyGov Corona Helpdesk on WhatsAppVisit IndiaFightsCoronaLargestVaccinationDriveCovidVaccine IndiaAgainstCorona,iYashAnilkumar,corona
08/26/2021,The worlds largest vaccination campaign is progressing at a fast pace More than 60 crore vaccines have been administered so far You should also get the vaccine and strengthen this countrys fight against Corona IndiaFightsCorona LargestVaccinationDrive,Kasimbjp,corona
08/26/2021,The Saudi govt has announced that Indian nationals who have travelled to India after receiving both the doses of Covid vaccine in Saudi Arabia will be able to return to the Kingdom directly without the need for quarantine in a third countrytravel travelnews SaudiArabia,TheAsianext,COVID
08/26/2021,The total vaccine doses administered in India cross the 60 crore mark with an exponential speed in the worlds LargestVaccineDrive India is leading the fight against COVID19 globally IndiaFightsCoronaLargestVaccinationDrive Vaccine Covid19 IndiaAgainstCorona,iYashAnilkumar,corona
08/25/2021,Is the third wave of Covid coming in India,SydMannanHaider,COVID
08/25/2021,India crosses the landmark achievement of administering 60 crore COVID vaccines The pace of vaccination has increased exponentially IndiaFightsCoronaLargestVaccinationDrive Vaccine Covid19 IndiaAgainstCorona,iYashAnilkumar,corona
08/25/2021,India has crossed 60 crore vaccination markThank you narendramodiand all the personnel involved in research and vaccinating COVID19 IndiaFightsCorona CKMKB,HiCyberabad,corona
08/25/2021,Corona is not over yetVNS airport is frequently sensitizing our esteemed passengers through FIDS boards amp social media handles to follow 3 golden rules while travelling through our airportMaintain Always Wear MaskWash Hands Properly,AAIVNSAIRPORT,corona
08/25/2021,Little Moments Big Memories This beautiful seaview with my bestie a while back close to her home We sat there for hours with minimal crowd due to Covid What would I not do to be back here again very soon serene beach juhu bff happysoul peace love friend,sonalyou,COVID
08/25/2021,it is not covid19 mythbuster its BJP govts mythbuster goldfishofficl GoodSnakeoffl Mayiloffcl mayilofficial muttabondaoffl rhinooffic ondriyaonnai OndriyaPanda OndriyaAnil ondriyaaaya ondriyaeli OndriyaGodzilla ondriyahorseoff India IndiaOnSale,iDharun7_0,COVID
08/25/2021,Gujarat Surat Municipal Corporation began Knock the Door campaign to create awareness among people about COVID vaccinationCommissionerSMC MySuratMySMCCOVID19COVID19VicCovidNZCOVID19BCcovidnswCOVIDIOTSCOVID19VaccineCOVID19Aus,FarmanManjul,COVID
08/24/2021,We all agree with dinocomics tag someone who overthinks and let them know its okay Visit us at mentalhealth overthinking COVID19 MentalHealthMatters tuesdayvibe tuesdaymotivations,GoodLives4,COVID
08/24/2021,Will Cathcart Chief Executive Officer Whatsapp Inc on Twitter said that today we are partnering with the Ministry of Health and MyGovIndia to enable people to make their vaccine appointments via WhatsApp COVID19 coronavirus vaccine India,FarmanManjul,corona
08/24/2021,Covid Vaccine slots can now be booked through WhatsAppIndiaFightsCorona vaccination,mr_sn_gt_,corona
08/23/2021,JDMorgan HilarieBurton gwsmcbride JDMorgan and HilarieBurton I can relate to this very well I have lost almost 22 people in the month of May and June Friends associates and friends parents during the outburst of Covid 2nd wave in India We have gone through a lot and vaccination is a must,Tinaofficial24,COVID
08/23/2021,JDMorgan gwsmcbride TheWalkingDead WalkingDeadAMC wwwbigbaldhead LaurenCohan mcbridemelissa paolalazaro kharypayton cassadymcclincy to be continued As my trip to USA got cancelled due to the pandemic but I am very sure one day I will definitely meet you thank you in person and the day will come soon very soon You deserve all the happiness in life,Tinaofficial24,COVID
08/23/2021,ThirdWave may peak in OctoberMeanwhile people who have birthday in OctoberThirdWaveOfCorona COVID19 COVID19India,BrainiacSanjeet,corona
08/23/2021,SonuSood sir This boy is very good in studies but he is missing his online class because of he has no mobile phone and currently he cant afford mobile because his fathers work has Stopped due to covid Kindly help this boy DuaPrashika vishallamba20FcSonuSood,RowdyGamerBUNN1,COVID
08/23/2021,HII SonuSood SIRHE NAME BUNNY he unable to listen online class becase of mobile phone not there He is from poor family and he is will in studies He is unable to but mobile becase no work due to covid19 ease help him sir SonuSood SoodFoundation,RowdyGamerBUNN1,COVID
08/23/2021,HII SonuSood SIRHE NAME BUNNY he unable to listen online class becase of mobile phone have He is from poor family and he is will in studies He is unable to but mobile becase no work due to covid19 ease help him sir SonuSood SoodFoundation,RowdyGamerBUNN1,COVID
08/23/2021,HII SonuSood SIRHE NAME BUNNY he unable to listen online class becase of mobile phone have He is from poor family and he is will in studies He is unable to but mobile becase no work due to covid19 ease help him sir SonuSood SoodFoundation,RowdyGamerBUNN1,COVID
08/22/2021,Not everyone on a tourist visa travels for vacationing Some simply need to visit their loved onesThe CDCgov has issued a Level 2 Travel Health Notice for India but still no news regarding the flightban COVID19 SeparationVirusPOTUS,_InsomniacPanda,COVID
08/22/2021,Kota ksatyarthi JiA girl child lost her mother also due to Corona in April21She already lost her father 2 year back due to heartattack No help received from BBAIndia even after multiple round of discussionBig but False promises madeno real work on ground FYI pls,Justice4Pavitra,corona
08/22/2021,Did a first offline show of Body Percussion after pandemic and it was amazingStay and show at itckohenur was fun bodypercussion dhunnthedrumcircle hyderabadevents itckohenur bodypercussionist hyderabadbodypercussion corporateevents bodypercussionistindia,Pravink10552982,corona
08/22/2021,narendramodi covid 19death axigreshen scem kab detha gi,JakkamSathish,COVID
08/21/2021,Lets break the corona chain together india highestvaccinations singleday coronavirus covid fightthevirus health happiness economy positivity posinewz feelgoodtoday positivenews,PosiNewz,corona
08/21/2021,COVID19 India,iPicklu,COVID
08/21/2021,What if Corona had happened 10 years agoCorona Covid19 JustAThought,pixelo_graphy,corona
08/20/2021,Celebrated virtual Independence day with my students on 15th August 2021 As my students since last 2 years due to corona pandemic havent celebrated independence day,ZadDeepika,corona
08/20/2021,It is completely safe to breastfeed during covid19says experts It is particularly effective against infectious diseases because it strengthens the immune system by directly transferring antibodies from the mother poshanabiyaan onlineguidance breastfeedingduringcovid19,UnisedIndia,COVID
08/20/2021,IPSDelhi analysing journalists deaths COVIDIndia highest fatalities among journalists dying to COVID19 across Asia amp World614 Journalists died in India Telangana saw steepest increase in journalists deathcijournalism HakkuInitiative BLScoop,maheshcafe,COVID
08/19/2021,Delta crisis US health system overwhelmed 5 states see record hospitalizationsCovid via timesofindia,Stuti8220,COVID
08/19/2021,ABVP Nashik Educational UpdatesSPPU Pune releases Circular regarding concession in fees for Academic Year 202122 against the backdrop of Covid19 situationTo view the Circular click on the link given belowPuneUniversity,abvp_nashik,COVID
08/19/2021,On WorldHumanitarianDay we honour sheer hard work of those humanitarians who overcame enormous challenges to improve the lives of millions of people reallifeheroes covid19crisis TheHumanRace WorldHumanitarianDay COVID19,UnisedIndia,COVID
08/19/2021,Indian Council of Medical Research ICMR the apex body at the forefront of formulating COVID19 testing protocols in India has achieved the milestone of conducting 50 crores tests yesterday Salute to Medical Team of India ICMRDELHI icmr India COVID19 covidindia,mr_sn_gt_,COVID
08/18/2021,Prime minister of Japan announced extension of covid 19 emergency lock down cases continue to rise,JatothGanesh16,COVID
08/18/2021,newzealand president jacindaardern announced together 3 days lock down over one covid 19 cases New Zealand today record six new covid 19 cases it begins a snap lock down,JatothGanesh16,COVID
08/17/2021,ElizabethKMagn1 JDMorgan Again it depends on which vaccine you have taken I have taken Covid shield for covaxin found in India the span should be 15 days to 1 month,Tinaofficial24,COVID
08/17/2021,salmanmulani3 AURANGZEB7274 rudra000 srinivasiyc 10 year GDP growth from 2010 to 2020Bar amp Line GraphGDP growth was good in 2010 It fell rapidly from 2011 to 2013 there was no covid or global slowdownGDP started rising again in 2014,punamnanda,COVID
08/17/2021,COVID 1st dose,i_am_dhandapani,COVID
08/17/2021,salmanmulani3 AURANGZEB7274 rudra000 srinivasiyc Since you asked for GDP growth rate prior to pandemic GDP growth rate for Period 2010 to 2020,punamnanda,COVID
08/16/2021,Phaguniya Where is PM careCOVID Care funds,SRINIVASGORAN19,COVID
08/16/2021,That was not easy to shoot in between pandemic Reliving Veeranshu Singhania,Ruhie007,COVID
08/16/2021,AAPSandeepD MohitHyderabadi Kishlaysharma Although you are right here but Covid also affected these things lets see if something will change in futureI heard some MLAs like Somnath bharti still organizing mohalla sabha in his constituency,meroopesh,COVID
08/16/2021,Please pray for India as the COVID crisis continues amp pray also that religious freedom will flourish throughout the landMay God bring healing and restoration and may the nation thrive and respect the liberty of all its citizens PrayForIndia IndiaAt75 IndiaIndependenceDay,RuthMalhotra,COVID
08/15/2021,There is no Independence for humanity after decades if we dont prepare for climate change Climate change is real please take steps to save our planet earth If we dont prepare for this the consequence is 1000 times more viscous than this COVID pandemicclimatechange,iamamer48,COVID
08/15/2021,During even deadliest pandemic they put service firstThey are the Martyrs financial warriors of one of the Public Sector BankThey are pride of our Nation foreverThey are forever in our heartsTheir sacrifices will not go in vainSavePSBs IndiaAt75JaiHind,Saurabh_Munger,COVID
08/15/2021,UrgentHello USAndHyderabad TeamMy relative who is here from US to visit his family after his mothers death due to Covid is being held back from going back to US His green card expired in June 2021 amp his application in Jan 2021 is pendingHe has I797 and is eligible to travel,nanoharsha,COVID
